Gene_EntrezID,DE_Prior_Rank,gene_symbol
100113407,0.972277279365742,TMEM170B
11013,0.972277279365742,TMSB15A
56603,0.972172960567494,CYP26B1
8671,0.972172960567494,SLC4A4
57126,0.972094721468809,CD177
53335,0.972042562069685,BCL11A
4314,0.971964322970999,MMP3
72,0.971964322970999,ACTG2
140597,0.971860004172752,TCEAL2
7903,0.971860004172752,ST8SIA4
9645,0.971781765074066,MICAL2
54504,0.971703525975381,CPVL
9133,0.971703525975381,CCNB2
730755,0.971573127477571,KRTAP2-3
718,0.971573127477571,C3
332,0.971573127477571,BIRC5
6036,0.9714166492802,RNASE2
3694,0.9714166492802,ITGB6
3399,0.9714166492802,ID3
6355,0.971312330481953,CCL8
1490,0.971260171082829,CCN2
633,0.971208011683705,BGN
285386,0.971155852284582,TPRG1
204962,0.971103692885458,SLC44A5
9120,0.971025453786772,SLC16A6
301,0.971025453786772,ANXA1
83857,0.970947214688087,TMTC1
1030,0.970895055288963,CDKN2B
10804,0.970790736490716,GJB6
3161,0.970790736490716,HMMR
1356,0.970790736490716,CP
1306,0.970686417692468,COL15A1
10221,0.970634258293344,TRIB1
7056,0.970556019194659,THBD
5577,0.970556019194659,PRKAR2B
57214,0.970477780095973,CEMIP
347902,0.970399540997288,AMIGO2
2568,0.970399540997288,GABRP
1316,0.970321301898602,KLF6
6039,0.970243062799917,RNASE6
4094,0.970243062799917,MAF
54809,0.970164823701231,SAMD9
3949,0.970112664302107,LDLR
114614,0.97000834550386,MIR155HG
7373,0.97000834550386,COL14A1
6504,0.97000834550386,SLAMF1
56521,0.969904026705612,DNAJC12
7272,0.969825787606927,TTK
1756,0.969825787606927,DMD
701,0.969747548508241,BUB1B
79931,0.969695389109117,TNIP3
23236,0.969643229709994,PLCB1
389136,0.969564990611308,VGLL3
7058,0.969564990611308,THBS2
22807,0.969486751512623,IKZF2
84803,0.969382432714375,GPAT3
9052,0.969382432714375,GPRC5A
1806,0.969382432714375,DPYD
6401,0.969278113916128,SELE
64116,0.969225954517004,SLC39A8
3772,0.96917379511788,KCNJ15
59345,0.969095556019195,GNB4
1647,0.969095556019195,GADD45A
5156,0.968965157521385,PDGFRA
4856,0.968965157521385,CCN3
2625,0.968965157521385,GATA3
7127,0.968860838723138,TNFAIP2
1285,0.968808679324014,COL4A3
55859,0.96875651992489,BEX1
8854,0.968704360525767,ALDH1A2
79801,0.968652201126643,SHCBP1
5328,0.968600041727519,PLAU
1048,0.968521802628834,CEACAM5
290,0.968521802628834,ANPEP
8320,0.968443563530148,EOMES
9833,0.968391404131024,MELK
89857,0.968313165032339,KLHL6
2152,0.968313165032339,F3
10673,0.968208846234091,TNFSF13B
6925,0.968208846234091,TCF4
55808,0.968104527435844,ST6GALNAC1
25984,0.968104527435844,KRT23
79838,0.968000208637597,TMC5
57393,0.968000208637597,CLTRN
158763,0.967921969538911,ARHGAP36
4915,0.967869810139787,NTRK2
10924,0.967817650740664,SMPDL3A
10911,0.967739411641978,UTS2
9241,0.967739411641978,NOG
9235,0.96763509284373,IL32
1669,0.96763509284373,DEFA4
79901,0.967556853745045,CYBRD1
1803,0.967504694345921,DPP4
890,0.967452534946797,CCNA2
8651,0.967400375547674,SOCS1
7069,0.96734821614855,THRSP
10123,0.967296056749426,ARL4C
56034,0.967217817650741,PDGFC
59,0.967217817650741,ACTA2
11213,0.967139578552055,IRAK3
10635,0.967035259753808,RAD51AP1
1063,0.967035259753808,CENPF
1043,0.967035259753808,CD52
7262,0.96693094095556,PHLDA2
3959,0.966878781556436,LGALS3BP
6662,0.966826622157313,SOX9
29760,0.966748383058627,BLNK
8549,0.966748383058627,LGR5
925,0.966670143959942,CD8A
80144,0.966617984560818,FRAS1
4973,0.966565825161694,OLR1
1268,0.96651366576257,CNR1
221687,0.966461506363447,RNF182
23347,0.966409346964323,SMCHD1
7941,0.966357187565199,PLA2G7
10398,0.966305028166076,MYL9
729230,0.966252868766952,CCR2
3689,0.966174629668266,ITGB2
2200,0.966174629668266,FBN1
341640,0.966070310870019,FREM2
5010,0.966070310870019,CLDN11
55450,0.965965992071771,CAMK2N1
1052,0.965965992071771,CEBPD
10974,0.965887752973086,ADIRF
23601,0.9658095138744,CLEC5A
4118,0.9658095138744,MAL
2791,0.965705195076153,GNG11
1390,0.965705195076153,CREM
23414,0.965626955977467,ZFPM2
100130476,0.965548716878782,WAKMAR2
144203,0.965548716878782,OVOS2
3485,0.965470477780096,IGFBP2
54205,0.965418318380972,CYCS
3037,0.965366158981849,HAS2
56670,0.965313999582725,SUCNR1
1001,0.965261840183601,CDH3
64581,0.965157521385354,CLEC7A
51299,0.965157521385354,NRN1
6275,0.965157521385354,S100A4
80760,0.965027122887544,ITIH5
54757,0.965027122887544,FAM20A
2982,0.964948883788859,GUCY1A1
116496,0.964896724389735,NIBAN1
85004,0.964844564990611,RERG
10135,0.964792405591488,NAMPT
4211,0.964740246192364,MEIS1
81610,0.964662007093678,FAM83D
4133,0.964662007093678,MAP2
84969,0.964557688295431,TOX2
