gene_symbol,gc_content
ALPK2,0.44376881193141465
ALPK3,0.4793849333618416
ALPL,0.5162285913003158
ALPP,0.6226596255400864
ALS2,0.3817901913349461
ALS2CL,0.5794010522055848
ALX1,0.316670530952933
ALX3,0.5857632139220587
ALX4,0.5282494969818914
ALYREF,0.5754264392324094
AMACR,0.41340018231540565
AMBN,0.3728464045765982
AMBP,0.49373695198329853
AMBRA1,0.43628611313425586
AMD1,0.4138946495230195
AMDHD1,0.4376132335565183
AMDHD2,0.5962309542902967
AMELX,0.3837256769628521
AMELY,0.4148794589287662
AMER1,0.5092268842268842
AMER2,0.43364750235626764
AMER3,0.5549027391822151
AMFR,0.422051986145349
AMH,0.7168173598553346
AMHR2,0.5271169096955743
AMIGO1,0.5322783672001439
AMIGO2,0.4465083470491418
AMIGO3,0.6372549019607843
AMMECR1,0.38785963515539
AMMECR1L,0.4575971731448763
AMN,0.6256630693250411
AMN1,0.4053294239392894
AMOT,0.4197108353812058
AMOTL1,0.41786540471353584
AMOTL2,0.5487508071325684
AMPD1,0.4072528740734165
AMPD2,0.56740657135691
AMPD3,0.44495521539263544
AMPH,0.39125292168078896
AMT,0.5338705816644059
AMTN,0.37601410934744267
AMY1A,0.3413303013075611
AMY1B,0.34446902654867256
AMY1C,0.38130408833184126
AMY2A,0.33552789083073975
AMY2B,0.34922239502332814
AMZ1,0.5177561796177749
AMZ2,0.44836498698116095
AMZ2P1,0.4146449051610057
ANAPC1,0.4241646279829483
ANAPC10,0.37230652785802865
ANAPC11,0.5530288178788473
ANAPC13,0.4533348130063256
ANAPC15,0.5231922536311104
ANAPC16,0.4345702633301445
ANAPC1P1,0.3982679751339094
ANAPC1P2,0.40292864167850506
ANAPC1P4,0.43913121545189876
ANAPC1P6,0.39582355701548566
ANAPC2,0.6164622196414313
ANAPC4,0.3791347366378892
ANAPC5,0.4454894601318029
ANAPC7,0.4575424300403309
ANG,0.4352145995268672
ANGEL1,0.4447040111337542
ANGEL2,0.38714852655577137
ANGPT1,0.36047615599378857
ANGPT2,0.40708394744269183
ANGPT4,0.5062345213739636
ANGPTL1,0.33760386204335513
ANGPTL2,0.49798798458399457
ANGPTL3,0.29486013190811916
ANGPTL4,0.5563583815028902
ANGPTL5,0.36980153971140084
ANGPTL6,0.5346678270960256
ANGPTL7,0.4638599668024747
ANGPTL8,0.5634178905206942
ANHX,0.5371740863030855
ANK1,0.49316958401596434
ANK2,0.37083664494251045
ANK2-AS1,0.37205676983534147
ANK3,0.37747262769852075
ANK3-DT,0.38453319086416454
ANKAR,0.37840605725858417
ANKDD1A,0.4675571703355418
ANKDD1B,0.4041392792384406
ANKEF1,0.372946777029635
ANKFN1,0.39739347991857776
ANKFY1,0.4489643124532069
ANKH,0.4386419849202594
ANKHD1,0.3844092058271698
ANKHD1-EIF4EBP3,0.3897346643009034
