,dim1
UAP1,0.004761384604137589
C1QL4,-0.003437663240591649
POM121L2,-0.012641270815357793
GTF2H4,-0.003460688039836521
GUF1,0.001938306868770074
FMO4,-0.004810104148655157
B3GNTL1,-0.0010852233120458123
LRIG2,-0.0013986533428808174
CARM1,0.0031098041550388887
MAPK9,0.011221828421243689
RFX3,0.01120680856182768
SLC25A37,0.007587758111665944
SCGB3A1,-0.003086068698126698
CDH13,0.005913399179779794
UBE2V1,0.009574613830667942
FAM177A1,0.0023199880529046093
NBPF15,-0.006114487771611458
FAM217A,-0.011776602973757924
DYDC2,-0.008803092660327458
SLC37A1,0.004220978805131546
PRXL2C,-0.00219356980995277
STMN1,0.007510705752836966
SWT1,-0.00464913149196207
CDK14,0.012520481436084448
DRAP1,0.00377606206084222
GUCY2C,-0.002733830429365785
GAPDHS,-0.0035350194872052765
GRINA,0.004218603305405624
AOC2,-0.005675825438549483
C17orf75,-0.002536913665008696
FARP2,0.006406217285578202
RBM4B,0.0015431175114844573
BOD1L1,0.01541437749230013
ANKHD1,0.023614466126027047
OASL,-0.005189252712483585
CNOT11,-5.6239132195503847e-05
RALBP1,0.003661346928520571
SULT1A3,-0.002580190354577658
SCNN1G,-0.0049099959175907945
CCDC96,-0.009368423374182193
SPAG7,0.003875888687386786
NSMCE4A,-0.003530898855322416
NEUROG2,-0.006773348064721186
TINAG,-0.0027670979889030008
AIDA,-0.00160220676313067
CCDC61,-0.007446191593527498
CSTB,0.005269903590944358
SPATA31A7,-0.009744486723417501
IRAK4,-0.004804492312456711
CPNE2,0.003916068210161271
HDGFL1,-0.008667860108755202
PITRM1,0.0031494625770421814
GASK1B,-0.004475288858156482
THPO,-0.013122372576840256
CDK5,0.004969879731780316
RNFT2,-0.0013581472492081228
STPG4,-0.008095573691171932
PRB4,-0.004773207793830448
PAX5,0.002396037385311699
ST6GALNAC3,0.006384784947874648
NDUFB2,0.0027805103058726765
PSEN1,0.007808969291984667
TCF20,0.0047000661076044715
OR13C3,-0.005755872159659717
SLC15A1,0.000811122257080567
SLC25A10,-0.0003470386857964674
AP1S1,0.006400746491952178
BAIAP2L2,0.0021625037923240745
PCIF1,-0.0010484155474367104
STYK1,-0.0032016664116256348
ATP2B1,0.01476841065230667
KPNA6,0.009581228885021885
SCHIP1,0.0024455855927541167
IQCA1,0.0053187582794164455
MIEF1,-0.0026505824294615365
ZNF37A,-0.0018011689031954793
RPIA,-0.0002663786306074881
ARG1,0.003836256153495704
ENTPD2,-0.005312657387504354
OGA,0.009445706039334466
PCDHA8,-0.0005738617268563069
MYDGF,-0.0021131014237109075
PLCH1,0.006911897445028229
ADAM12,0.0008357135288420305
CMTM6,0.0012766487406337184
LYRM9,-0.00016694206267776467
DBNDD1,-0.008150134623655193
C1GALT1,0.004911644455668456
OR2H1,-0.004139863809309843
NPAS2,0.0029868074880676034
CNOT8,0.00549832690392897
ALG1L2,-0.006282304582182557
B3GALT4,-0.00824874261815275
CDH15,-0.005385568182528941
SMARCAL1,-0.0014339149918820642
ZNF18,-0.009387784456952398
TRAF2,-0.0017087685443202558
ENPP3,-0.00017400836124994743
MPC1,0.007363065473222967
PPP1R1A,-0.004607519835442427
RAB35,0.002686550852986856
RTN4R,-0.005100431977131016
RUFY2,0.011243689895557867
HNRNPA1,0.007620843612306384
FAM237B,-0.008316125189881935
CREB3L1,-0.003865570423403726
C2CD4A,-0.01063118469922971
MTA2,0.0007814718666226253
USP17L8,-0.0032859121438459757
GNLY,-0.005838468646701712
OMG,-0.0038076605985912734
FAM221B,-0.012356731627134005
